,EN SOURCE TXT,Korean
343,Coping With Coronavirus,코로나바이러스 이겨내기
344,Premium subscribers: Easily link your account to the TuneIn Live Alexa Skill,프리미엄 구독자: TuneIn Live Alexa Skill에 계정을 간단히 연결
345,Introducing Sign In With Apple for seamless account set up and log in,간편한 계정 설정 및 로그인을 위한 Apple로 로그인 도입
346,Integration with Siri to launch the TuneIn app,TuneIn 앱 실행을 위한 Siri와의 통합
347,Fixed an issue where episode duration would increase during playback,재생 중 에피소드 시간 증가 문제 수정
348,"Fixed an issue where ""Choose Stream"" option sometimes would not be accessible","""스트림 선택"" 이용 불가 문제 수정"
349,Minor UI and localization fixes,기타 UI 및 번역 수정
350,Clear Search History,검색 기록 삭제
351,Try Again,다시 시도
352,Linking Unsuccessful,연결하지 못했습니다
353,Linking Successful,연결되었습니다
354,"Start your search for sports, music, news, podcasts and radio stations from around the world.","전 세계의 스포츠, 음악, 뉴스, 팟캐스트, 라디오 방송을 검색하세요."
355,What do you want to hear?,무엇을 듣고 싶으신가요?
356,Recent Searches,최근 검색
357,"We may sell your personal information to third parties, as described in our {{ccpaPolicyPageLink/}}. To opt out of such sale, please click the applicable button below.	",{{ccpaPolicyPageLink/}}에 설명된 바와 같이 당사는 귀하의 개인 정보를 제3자에게 판매할 수 있습니다. 이와 같은 판매를 거부하려면 아래 해당 버튼을 클릭하십시오.
358,"For more information regarding TuneIn's privacy practices, see our",TuneIn의 개인 정보 보호 조치에 대한 자세한 내용은
359,Do not sell my info,내 정보를 판매하지 마십시오
360,Trending Searches,검색 트렌드
361,Game Replay,경기 리플레이
362,Our Favorite Social Distancing Pods,사회적 거리두기를 위한 추천 팟캐스트
363,Listen From Home,집에서 듣기
364,Solo Dance Party,혼자서 즐기는 댄스 파티
365,Music To Unwind,휴식을 위한 음악
366,Need A Hobby?,취미가 필요하신가요?
367,Stories To Transport You,다른 세상으로의 여행을 위한 이야기들
368,For The Whole Family,온 가족을 위한 방송
369,Premium,프리미엄
370,Commercial-Free News,광고 없는 뉴스
371,Commercial-Free Music: Top 40,광고 없는 음악: 탑 40
372,Commercial-Free Music: Rock,광고 없는 음악: 록
373,Commercial-Free Music: Country,광고 없는 음악: 컨트리
374,Your Workout Soundtrack,운동용 음악
375,Commercial-Free Music: Soft Rock,광고 없는 음악: 소프트록
376,Commercial-Free Music: Decades,광고 없는 음악: 시대별 음악
377,More Commercial-Free Music,더 많은 광고 없는 음악
378,Keep the Kids Busy,아이들이 지루해 하지 않게 해 주는 방송
379,Kitchen Help,주방 도우미
380,TuneIn Top 5,TuneIn 탑 5
381,Stations to Decompress To,휴식을 위한 방송
382,Sports Pods Discussing COVID-19,코로나 19에 관해 이야기하는 스포츠 팟캐스트
383,Hear Up to Date Coronavirus Coverage,최신 코로나 바이러스 뉴스를 들으세요
384,Breaking News,긴급 속보
385,"TuneIn has a Coronavirus News channel with 24/7 coverage via local radio searchable by state, as well as dedicated COVID-19 podcasts and live breaking news from top-rated national networks, including MSNBC, CNN, FOX News Talk, CNBC, and Bloomberg News, among others.","TuneIn에서는 주 별로 검색 가능한 지역 라디오를 비롯해, COVID-19 전문 팟캐스트와, MSNBC, CNN, FOX 뉴스 토크, CNBC 및 블룸버그 뉴스 등을 포함한 최고 평가의 전국 방송국에서 낸보내는 라이브 속보까지, 365일 24시간 방송되는 코로나 바이러스 뉴스 채널을 보유하고 있습니다."
386,Improved UI and styling,향상된 UI 및 스타일
387,Ability to link Alexa with TuneIn Premium,TuneIn Premium을 Alexa에 연결할 수 있는 기능
388,Share feedback about TuneIn by writing a review in the Play Store.,Play Store에 리뷰를 작성해서 TuneIn에 대한 의견을 남겨주세요.
389,STAY INFORMED{0}ON CORONAVIRUS.{0}HEAR THE LATEST.,코로나 바이러스 소식을{0}빠짐없이 들으세요.{0}최신 소식을 들으세요.
390,Exit TuneIn,TuneIn 나가기
391,Sign in to your Amazon account,귀하의 Amazon 계정에 로그인
392,Finish,완료
393,Start Linking,연결 시작
394,Something went wrong and linking was unsuccessful. Please try again!,무언가 잘못되어 연결이 실패하였습니다. 다시 시도해 주세요!
395,Great! Your TuneIn account is now linked to your Alexa!,훌륭합니다! 이제 귀하의 TuneIn 계정이 귀하의 Alexa에 연결되었습니다!
396,Your Recordings are now here,이제 귀하의 녹음본이 여기에 나타납니다
397,"Exit and ""Need Help?"" are now here	",이제 나가기 및 “도움이 필요하세요”가 여기에 나타납니다
398,Link Your Account,귀하의 계정 연결
399,Shut down app completely,앱 완전히 종료
400,Something went wrong and unlinking was unsuccessful. Please try again!,무언가 잘못되어 연결이 실패하였습니다. 다시 시도해 주세요!
401,Your Alexa account is now unlinked.,이제 귀하의 Alexa 계정의 연결이 해제되었습니다.
402,Go Premium,Premium 가입
403,Finish!,완료!
404,You are all set!,모든 준비가 끝났습니다!
405,Now login on any device to take your listening anywhere you go!,이제 어떤 기기에든 로그인하셔서 어디에 가서든 귀하의 방송을 들으세요!
406,"Every NFL, MLB, NBA & NHL game live. Commercial-free news & music.	","모든 NFL, MLB, NBA 및 NHL 경기 라이브 중계. 광고 없는 뉴스 및 음악."
407,Are you sure you want to cancel your subscription?,정말 구독을 취소하시겠습니까?
408,Continue with Facebook,Facebook으로 계속 진행
409,Continue with Google,Google로 계속 진행
410,Try Again,다시 시도
411,Start Linking,연결 시작
412,Linking…,연결 중…
413,Finish,완료
414,Unlink,연결 해제
415,Unlinking,연결 해제 중
416,Link with Alexa,Alexa와 연결
417,Linking Unsuccessful,연결 실패
418,Linking Successful,연결 성공
419,Unlink from Alexa,Alexa에서 연결 해제
420,Unlinking Failed,열결 해제 실패
421,Unlinking Successful,연결 성공
422,Listen to Premium content on your Alexa devices.,귀하의 Alexa 기기에서 Premium 콘텐츠를 들으세요
423,Something went wrong and linking was unsuccessful.,무언가 잘못되어 연결이 실패하였습니다.
424,Great! Your TuneIn account is now linked to your Alexa.,훌륭합니다! 이제 귀하의 TuneIn 계정이 귀하의 Alexa에 연결되었습니다!
425,Click the button below to unlink your TuneIn Premium account with Alexa.,아래의 버튼을 클릭해서 귀하의 TuneIn 프리미엄 계정과 Alexa와의 연결을 해제하세요.
426,Something went wrong and unlinking failed.,무언가 잘못되어 연결 해제가 실패하였습니다.
427,Your TuneIn account is now unlinked from your Alexa.,이제 귀하의 TuneIn 계정과 Alexa와의 연결이 해제되었습니다.
428,Linked with Alexa,Alexa와 연결됨
429,Unlinking…,연결 해제 중…
430,Not Now,지금은 아님
431,Something went wrong with your subscription! Would you like to try again?,귀하의 구독과 관련해서 뭔가 잘못되었습니다! 다시 시도해 보시겠습니까?
432,Unlink with Alexa,Alexa와의 연결 해제
433,Home,홈
434,Stock Market News,주식 시장 뉴스
435,Live National & Local Coverage,전국 및 지역 라이브 뉴스
436,Your Work From Home Soundtrack,재택근무용 사운드트랙
437,Music To Stay Focused,집중을 위한 음악
438,Productivity Boosters,생산성을 높이는 음악
439,Need A Break?,휴식이 필요하세요?
440,Good Company,좋은 회사
441,Featured Podcasts,특선 팟캐스트
442,Top NBA Podcasts,탑 NBA 팟캐스트
443,Top NFL Podcasts,탑 NFL 팟캐스트
444,Top MLB Podcasts,탑 MLB 팟캐스트
445,Top College Sports Podcasts,탑 대학 스포츠 팟캐스트
446,Local Sports Radio,지역 스포츠 라디오
447,Sports Podcasts,스포츠 팟캐스트
448,Top Sports Betting Podcasts,탑 스포츠 베팅 팟캐스트
449,Podcasts Covering Every Play,모든 경기를 다루는 팟캐스트
450,Popular Lately,최근 인기 방송
451,Hear Live Coronavirus Updates,코로나 바이러스 실시간 소식을 들으세요
452,Inspired By Your Listening,귀하의 청취 기반 추천
453,Dedicated COVID-19 Podcasts,COVID-19 전용 팟캐스트
454,Today's Coronavirus Headlines,오늘의 코로나 바이러스 헤드라인
455,Stay Updated on Coronavirus' Impact on Sports,코로나 바이러스가 스포츠에 미치는 영향을 빠짐 없이 파악하세요
456,Local,지역 방송
457,Popular Podcasts in Your Area,계신 지역의 인기 팟캐스트
458,Popular Stations in Your Area,계신 지역의 인기 방송국
459,Recents,최근
460,Sports Pods Discussing COVID-19,COVID-19에 대해 논의하는 스포츠 팟캐스트
461,"ATTENTION: After this update, TuneIn will no longer support iOS versions 10 & 11. Please update your device ASAP to ensure you get the best experience out of the app!","주의: 이번 업데이트 이후부터, TuneIn은 더이상 iOS 10 및 11 버전을 지원하지 않습니다. 최대한 빨리 업데이트하셔서 앱을 통한 최고의 경험을 누리시기 바랍니다!"
462,Sign Up with Email,이메일로 가입
463,Continue with Facebook,Facebook으로 계속 진행
464,Finish!,완료!
465,Go Premium!,프리미엄에 가입하세요!
466,Continue with Google,Google로 계속 진행
467,Remember to sign in on all your devices to keep track of your listening everywhere you go.,어디에서든 청취 기록을 유지하려면 잊지 말고 모든 기기에 로그인해 주십시오.
468,You’re In!,가입되셨습니다!
469,"Every NFL, MLB, NBA & NHL game. Commercial-free news and music.","모든 NFL, MLB, NBA 및 NHL 경기. 광고 없는 뉴스와 음악."
470,Enjoy a seamless experience across devices and personalized recommendations based on your listening. (It only takes 30 seconds),기기들 간의 부드러운 청취 경험과 청취 기록에 따른 개인화된 방송 권장 기능을 즐기세요. (30초 밖에 걸리지 않습니다)
471,Remember to sign in on all your devices to keep track of your listening everywhere you go.,어디에서든 청취 기록을 유지하려면 잊지 말고 모든 기기에 로그인해 주십시오.
472,Customize Your Experience!,맞춤형 청취 경험을 즐기세요!
473,You’re In!,가입되셨습니다!
474,"Due to a recent Chrome update, your browser no longer supports this station. Click on the icon below to keep listening with our new TuneIn popout player! Learn more about the update {{helplink/}}.","최근의 Chrome 업데이트로 인하여, 귀하의 브라우저에서는 이 방송국을 더 이상 지원하지 않습니다. 아래의 아이콘을 클릭해서 저희의 TuneIn 팝업 플레이어를 통해 계속 청취하시기 바랍니다! {{helplink/}}에서 해당 업데이트에 대해 자세히 알아보세요."
475,here,여기
476,"LIVE MLB, NFL, NBA, NHL & College Games.{0}LIVE ad-free MSNBC, FOX News Talk, & CNBC.{0}Today’s Hits, Classic Rock Hits, +150 ad-free stations.	","라이브 MLB, NFL, NBA, NHL 및 대학 경기.{0}광고 없는 라이브 MSNBC, FOX 뉴스 토크와 CNBC.{0}오늘의 히트곡, 정통 록 히트곡, 150개 이상의 광고 없는 방송국."
477,Listen to Premium content on your Alexa devices,귀하의 Alexa 기기에서 프리미엄 콘텐츠를 들으세요
478,Enjoy the best content TuneIn has to offer with our auto-renewable subscription. Try Premium risk-free for 7 days then just $4.99/month. Cancel Anytime!,"자동갱신되는 구독을 통해 TuneIn의 보유한 최고의 콘텐츠를 즐기세요. 위험 부담 없이 7일 간 프리미엄을 체험해 보신 후, $4.99/월의 비용만 내세요. 언제든 취소가 가능합니다!"
479,Enjoy the best content TuneIn has to offer with our auto-renewable subscription for just $4.99/month. Cancel Anytime!,자동갱신되는 구독을 통해 단 $4.99/월의 비용으로 TuneIn의 보유한 최고의 콘텐츠를 즐기세요. 언제든 취소가 가능합니다!
480,Listen Live,라이브 방송 듣기
481,Listen Local,지역 방송 듣기
482,Coronavirus Coverage,코로나바이러스 소식
483,Hear The Latest Coronavirus Updates,최신 코로나바이러스 소식을 들으세요
484,Podcasts Covering COVID-19,COVID-19 관련 팟캐스트
485,Hear Live Coronavirus Updates,실시간 코로나바이러스 소식 듣기
486,COVID-19 Impacts Leagues,리그를 강타한 COVID-19
487,Sports News,스포츠 뉴스
488,Local Coverage,지역 소식
489,National Coverage,전국 소식
490,Sports Pods,스포츠 팟캐스트
491,New Podcasts for March,3월의 신규 팟캐스트
492,Podcasts for Women's History Month,여성 역사의 달 팟캐스트
493,Local Coverage,지역 소식
494,Listen Commercial-Free,광고 없는 방송
495,Podcasts Covering COVID-19,COVID-19 관련 팟캐스트
496,Latest Sports News,최신 스포츠 뉴스
497,Local Coverage From Your City,계신 도시의 지역 소식
498,Stay Updated on Coronavirus' Impact on Sports,코로나바이러스와 관련한 스포츠 최신소식을 들으세요
499,Sports Pods Discussing COVID-19,COVID-19에 대해 논의하는 스포츠 팟캐스트
500,Podcasts Covering COVID-19,COVID-19 관련 팟캐스트
501,"What better way to welcome Spring than with TuneIn's extensive sports coverage. Listen to the NBA, MLB Spring Training, NFL Combine, College Basketball, and more! ","TuneIn의 광범위한 스포츠 방송 보다 더 나은 봄맞이가 또 있을까요.
NBA, MLB 스프링캠프, NFL 콤바인, 대학 농구 등을 청취하세요!"
